"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"20","(a) Articles of Agreement of the International Monetary Fund","Afghanistan, Algeria, Argentina, Australia, Austria, Bahrain, Bangladesh, Barbados, Belgium, Bolivia, Botswana, Brazil, Burma, Burundi, Cambodia, Cameroon, Canada, Central African Republic, Ceylon, Chad, Chile, China, Colombia, Congo (Brazzaville), Congo (Leopoldville), Costa Rica, Cuba, Cuba, Cyprus, Czechoslovakia, Czechoslovakia, Dahomey, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Ethiopia, Federal Republic of Germany, Fiji, Finland, France, Gabon, Gambia, Ghana, Greece, Guatemala, Guinea, Guyana, Haiti, Honduras, Iceland, India, Indonesia, Indonesia, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Ivory Coast, Jamaica, Japan, Jordan, Kenya, Korea, Kuwait, Laos, Lebanon, Lesotho, Liberia, Libya, Luxembourg, Madagascar, Malawi, Malaysia, Malaysia, Mali, Malta, Mauritania, Mauritius, Mexico, Morocco, Nepal, Netherlands, New Zealand, Nicaragua, Niger, Nigeria, None, Norway, Oman, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Poland, Portugal, Qatar, Rwanda, Saudi Arabia, Senegal, Sierra Leone, Singapore, Somalia, South Africa, Southern Yemen, Spain, Sudan, Swaziland, Sweden, Syria, Tanganyika, Thailand, Togo, Trinidad and Tobago, Trust Territory of Western Samoa, Tunisia, Turkey, Uganda, United Arab Emirates, United Arab Republic, United Kingdom of Great Britain and Northern Ireland, United States of America, Upper Volta, Uruguay, Venezuela, Viet Nam, Yemen Arab Republic, Yugoslavia (Socialist Federal Republic of), Zambia","27 December 1945",1947-04-25,"Bretton Woods Agreements (IMF), International Monetary Fund (IMF), Charters-Constitutions-Statutes","Multilateral","2 (p.39)",1945-12-27,1947,4,25,1945,12,27,"Washington",1945-12-27,1945,12,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","(b) Articles of Agreement of the International Bank for Reconstruction and Development","Afghanistan, Algeria, Argentina, Australia, Austria, Bahrain, Bangladesh, Belgium, Bolivia, Botswana, Brazil, Burma, Burundi, Cambodia, Cameroon, Canada, Central African Republic, Ceylon, Chad, Chile, China, Colombia, Congo (Brazzaville), Congo (Leopoldville), Costa Rica, Cuba, Cuba, Cyprus, Czechoslovakia, Czechoslovakia, Dahomey, Denmark, Dominican Republic, Dominican Republic, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Ethiopia, Federal Republic of Germany, Fiji, Finland, France, Gabon, Gambia, Ghana, Greece, Guatemala, Guinea, Guyana, Haiti, Honduras, Iceland, India, Indonesia, Indonesia, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Japan, Jordan, Kenya, Korea, Laos, Lebanon, Lesotho, Libya, Luxembourg, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mexico, Morocco, Nepal, Netherlands, New Zealand, Nicaragua, Niger, Nigeria, None, Norway, Oman, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Poland, Portugal, Qatar, Rwanda, Saudi Arabia, Singapore, South Africa, Southern Yemen, Spain, Sudan, Swaziland, Sweden, Syria, Syrian Arab Republic, Thailand, Trinidad and Tobago, Tunisia, Turkey, Uganda, United Arab Emirates, United Arab Republic, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanganyika and Zanzibar, United States of America, Upper Volta, Uruguay, Venezuela, Viet Nam, Yemen Arab Republic, Yugoslavia (Socialist Federal Republic of), Zambia","27 December 1945",1947-04-25,"Bretton Woods Agreements (IMF), Charters-Constitutions-Statutes, International Bank for Reconstruction and Development (IBRD)","Multilateral","2 (p.134)",1945-12-27,1947,4,25,1945,12,27,"Washington",1945-12-27,1945,12,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Agreement and protocol concluded between Germany and Austria for the settlement of certain financial questions","Austria, Germany*","",1920-11-20,"Finance","Bilateral","2 (p.131)",NA,1920,11,20,NA,NA,NA,"Munich",1920-09-01,1920,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Agreement between Germany and Hungary with regard to the through transport of their respective prisoners of War","Germany*, Hungary","",1920-10-22,"War, Legal matters","Bilateral","2 (p.79)",NA,1920,10,22,NA,NA,NA,"Berlin",1920-05-08,1920,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Agreement between Germany and Latvia concerning the exchange of their respective prisoners","Germany*, Latvia","",1920-10-22,"War, Legal matters","Bilateral","2 (p.71)",NA,1920,10,22,NA,NA,NA,"Berlin",1920-04-20,1920,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Agreement between Sweden and the United States of America for the protection of literary and artistic works as set forth in documents signed at Stockholm on January 30 1920 and at Washington on February 27, 1920","Sweden*, United States of America","",1920-11-23,"Copyright","Bilateral","2 (p.147)",NA,1920,11,23,NA,NA,NA,"Washington",1920-02-27,1920,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Agreement between the Allied and Associated Powers with regard to teh Italian reparation payments, signed at Saint-Germani-en-Laye, September 10, 1919","Belgium, China, Czechoslovakia, France, Greece, Italy, Japan, Nicaragua, Poland, Portugal, Romania, Siam, United Kingdom, United States of America","21 October 1920 by signature",NA,"Payments, Finance","Multilateral","2 (p.21)",1920-10-21,NA,NA,NA,1920,10,21,"Saint-Germain-en-Laye",1919-10-10,1919,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Agreement between the Allied and Associated powers with regard to the contribution to the cost of liberation of the terrirtories of the former Austro-Hungarian Monarchy","China, Cuba, Czechoslovakia, France, Greece, Italy, Japan, Nicaragua, Panama, Poland, Portugal, Romania, Serbia, Siam, United Kingdom, United States of America","",NA,"Payments, Finance","Multilateral","2 (p.5)",NA,NA,NA,NA,NA,NA,NA,"Saint-Germain-en-Laye",1919-09-10,1919,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Agreement concerning the administration of the postal, telegraphic and telephone services in the Principality of Liechtenstein by the Swiss postal administration and the Swiss telegraphic and telephone administration","Liechtenstein, Switzerland*","1 February 1921",1921-01-01,"Telecommunications, Postal services","Bilateral","2 (p.277)",1921-02-01,1921,1,1,1921,2,1,"Bern",1920-11-10,1920,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Agreement relating to Radiotelegraphic Communication between French Equtorial Africa and the Anglo-Egyptian Sudan","Anglo-Egyptian Sudan, French Equatorial Africa","15 October 1939 , in accordance with article VI",1947-04-08,"Telecommunications","Bilateral","2 (p.209)",1939-10-15,1947,4,8,1939,10,15,"Khartoum",1939-11-02,1939,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
