"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day","X3","X4","X5","X6"
"26","Agreed declaration by the President of the United States of America, the Prime Minister of the United Kingdom of Great Britain and Northern Ireland, and the Prime Minister of Canada relating to atomic energy","Canada, United Kingdom of Great Britain and Northern Ireland, United States of America*","15 November 1945 by signature",1947-05-20,"Energy, Atomic energy (peaceful uses)","Multilateral","3 (p.123)",1945-11-15,1947,5,20,1945,11,15,"Washington",1945-11-15,1945,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Agreement between the Government of the United States of America and the Government of the Republic of Costa Rica relating to a military mission to Costa Rica","Costa Rica, United States of America*","10 December 1945 by signature",1947-05-20,"Assistance, Military matters","Bilateral","3 (p.157)",1945-12-10,1947,5,20,1945,12,10,"Washington",1945-12-10,1945,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Agreement between the Government of the United States of America and the Government of the Republic of Honduras relating to a military mission to Honduras","Honduras, United States of America*","28 December 1945",1947-05-20,"Assistance, Military matters","Bilateral","3 (p.185)",1945-12-28,1947,5,20,1945,12,28,"Washington",1945-12-28,1945,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Agreement between the Government of the United States of America and the Government of the United Kingdom relating to air services between their respective territories","United Kingdom of Great Britain and Northern Ireland, United States of America*","11 February 1946 by signature",1947-05-20,"Transport, Services, Aviation","Bilateral","3 (p.253)",1946-02-11,1947,5,20,1946,2,11,"Bermuda",1946-02-11,1946,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Air Transport Agreement between the United States of America and Portugal","Portugal, United States of America*","6 December 1945 by signature",1947-05-20,"Transport, Aviation","Bilateral","3 (p.139)",1945-12-06,1947,5,20,1945,12,6,"Lisbon",1945-12-06,1945,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Convention concerning the succession to property of Spanish subjects deceased in Greece and Greek subjects deceased in Spain","Greece*, Spain","",1919-03-08,"Property matters","Bilateral","3 (p.6)",NA,1919,3,8,NA,NA,NA,"Madrid",1919-03-06,1919,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Convention respecting reciprocal emigration","Czech and Slovak Federal Republic*, France","",1921-03-12,"Immigration","Bilateral","3 (p.139)",NA,1921,3,12,NA,NA,NA,"Paris",1920-03-20,1920,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Declaration modifying article 2 of the Declaration of December 11, 1897, concerning the importation of Portuguese wines into Belgium","Belgium*, Portugal*","",1921-03-17,"Wines-Spirits","Bilateral","3 (p.149)",NA,1921,3,17,NA,NA,NA,"Lisbon",1920-01-22,1920,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Exchange of Notes and Monetary Agreement between the Netherlands and France","France, Netherlands*","9 April 1946",1947-04-25,"Monetary matters","Bilateral","3 (p.57)",1946-04-09,1947,4,25,1946,4,9,"Paris",1946-04-09,1946,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Exchange of Notes between the United States of America and Greece constituting an agreement relating to commercial relations","Greece, United States of America*","11 January 1946 by signature",1947-05-20,"Trade, Cooperation","Bilateral","3 (p.203)",1946-01-11,1947,5,20,1946,1,11,"Washington",1946-01-11,1946,1,11,"Washington",1946-01-02,1946,1,2,NA,NA,NA,NA
"4","International Convention for the protection of industrial property","","20 March 1883",1883-03-20,"World Intellectual Property Organization (WIPO), Property matters","Multilateral","3",1883-03-20,1883,3,20,1883,3,20,"Washington",1911-06-02,1911,6,2,NA,NA,NA,NA,NA,"Brussels","14/12/1900","Paris","20/03/1883"
"23","Exchange of Notes regarding the release of Netherlands assets in the United States of America","Netherlands*, United States of America","13 February 1946",1947-04-25,"Claims-Debts, Property matters, Finance","Bilateral","3 (p.37)",1946-02-13,1947,4,25,1946,2,13,"Washington",1946-02-11,1946,2,11,NA,NA,NA,NA,NA,"'s-Gravenhage","20/03/1946","'s-Gravenhage","22/01/1946"
"22","Exchange of Notes dated February 7, 1946 between the Minister of Netherlands in Mexico and the Minister for Foreign Affairs of Mexico regarding compensation in respect of expropriated petroleum industrial property","Mexico, Netherlands*","7 February 1946 by signature",1947-04-25,"Fuels, Commodities, Claims-Debts, Property matters","Bilateral","3 (p.13)",1946-02-07,1947,4,25,1946,2,7,"MexicoCity",1946-02-07,1946,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Exchange of Notes constituting an agreement between the United States of America and the United Kingdom of Great Britain and Northern Ireland relating to the purchase of natural rubber","United Kingdom of Great Britain and Northern Ireland, United States of America*","1 March 1946 by signature",1947-05-20,"Commodities, Trade","Bilateral","3 (p.293)",1946-03-01,1947,5,20,1946,3,1,"Washington",1946-03-01,1946,3,1,"Washington",1946-01-28,1946,1,28,NA,NA,NA,NA
"30","Exchange of Notes constituting an agreement between the United States of America and the United Kingdom of Great Britain and Northern Ireland regarding a joint Anglo-American Committee of Inquiry","United Kingdom of Great Britain and Northern Ireland, United States of America*","10 December 1945 by signature",1947-05-20,"Military matters, Cooperation","Bilateral","3 (p.177)",1945-12-10,1947,5,20,1945,12,10,"Washington",1945-12-10,1945,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Exchange of Notes constituting an agreement between the United States of America and the Netherlands relating to the purchase of natural rubber","Netherlands, United States of America*","9 February 1946 by signature",1947-05-20,"Commodities, Trade","Bilateral","3 (p.247)",1946-02-09,1947,5,20,1946,2,9,"Washington",1946-02-09,1946,2,9,"Washington",1946-01-28,1946,1,28,NA,NA,NA,NA
"27","Exchange of Notes constituting an agreement between the United States of America and Italy relating to commercial relations","Italy, United States of America*","6 December 1945 by signature",1947-05-20,"Trade, Cooperation","Bilateral","3 (p.131)",1945-12-06,1947,5,20,1945,12,6,"Washington",1945-12-06,1945,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Exchange of Notes constituting an agreement between the United States of America and France relating to the purchase of natural rubber","France, United States of America*","7 February 1946 by signature",1947-05-20,"Commodities, Trade","Bilateral","3 (p.239)",1946-02-07,1947,5,20,1946,2,7,"Washington",1946-02-07,1946,2,7,"Washington",1946-01-28,1946,1,28,NA,NA,NA,NA
"38","Exchange of Notes constituting an agreement between the United States of America and Denmark amending the agreement of 16 December 1944 relating to air transport services","Denmark, United States of America*","21 March 1946 by signature",1947-05-20,"Transport, Services, Aviation","Bilateral","3 (p.301)",1946-03-21,1947,5,20,1946,3,21,"Washington",1946-03-21,1946,3,21,NA,NA,NA,NA,NA,"Washington","05/12/1945","Washington","23/10/1945"
