"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day","LNTS Volume Number"
"38","Additional Protocol, signed at Geneva on 10 July 1947, by representatives of the United Nations, the League of Nations and the United Nations Relief and Rehabilitation Administration","League of Nations, United Nations, United Nations Relief and Rehabilitation Administration","10 July 1947 by signature",1947-07-25,"United Nations (UN), Payments, League of Nations, International organizations-Institutions, Finance","Multilateral","5 (p.401)",1947-07-10,1947,7,25,1947,7,10,"Geneva",1947-07-10,1947,7,10,NA,NA,NA,NA,NA,NA
"119","Agreement additional to the Agreement for the Exchange of Postal Parcels concluded on the 26/10 of May, 1904, between the Post Office of Great Britain and Ireland and the Post Office of Sweden","Sweden, United Kingdom of Great Britain and Northern Ireland","",1921-06-01,"Postal services","Bilateral",NA,NA,1921,6,1,NA,NA,NA,"Stockholm",1920-03-03,1920,3,3,"London",1920-04-02,1920,4,2,"5 (p.63)"
"119","Agreement additional to the Agreement for the Exchange of Postal Parcels concluded on the 26/10 of May, 1904, between the Post Office of Great Britain and Ireland and the Post Office of Sweden","Sweden, United Kingdom of Great Britain and Northern Ireland*","1 May 1920",1921-06-01,"Postal services, Trade","Bilateral",NA,1920-05-01,1921,6,1,1920,5,1,"Stockholm",1920-03-03,1920,3,3,"London",1920-04-02,1920,4,2,"5 (p.63)"
"121","Agreement additional to the Agreement for the exchange of Postal Parcels concluded on the 8-18 September 1900, between the Post Office of Norway and the Post Office of Great Britain and Ireland, signed at Kristiania, June 18, 1920, at London July 6, 1920","Norway, United Kingdom of Great Britain and Northern Ireland*","1 June 1921",1921-06-01,"Postal services","Bilateral",NA,1921-06-01,1921,6,1,1921,6,1,"London",1920-07-06,1920,7,6,"Kristiania",1920-06-18,1920,6,18,"5 (p.107)"
"122","Agreement Additional to the agreement for the exchange of Postal Parcels dated August 22, September 14, 1903, between the Post Office of Great Britain and Ireland and the Post Office of Denmark, signed at London, July 6, 1920, at Copenhagen, August 20, 1920","Denmark, United Kingdom of Great Britain and Northern Ireland*","1 June 1921",1921-06-01,"Postal services","Bilateral",NA,1921-06-01,1921,6,1,1921,6,1,"London",1920-07-06,1920,7,6,"Copenhagen",1920-08-20,1920,8,20,"5 (p.129)"
"64","Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Portugal for air services between British and Portuguese territories","Portugal, United Kingdom of Great Britain and Northern Ireland*","16 August 1946 by the exchange of the instruments of ratification and provisionally on 6 December 1945 by signature",1947-07-30,"Transport, Territories, Aviation","Bilateral","5 (p.37)",1946-08-16,1947,7,30,1946,8,16,"Lisbon",1945-12-06,1945,12,6,NA,NA,NA,NA,NA,NA
"34","Agreement between the Postal Administration of Mauritius and the Postal Administration of the Colony of Mozambique for the Exchange of Parcels by Parcel Post","Portugal, United Kingdom of Great Britain and Northern Ireland*","1 June 1946",1947-06-23,"Postal services","Multilateral","5 (p.263)",1946-06-01,1947,6,23,1946,6,1,"PortLouis",1945-08-21,1945,8,21,"LourençoMarques",1945-07-01,1945,7,1,NA
"35","Agreement concerning the Establishment of an European Central Inland Transport Organisation","Belgium, Czechoslovakia, Denmark, France, Greece, Luxembourg, Netherlands, Norway, Poland, Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland, United States of America, Yugoslavia (Socialist Federal Republic of)","27 September 1945 by signature, in accordance with article XIV",1947-06-23,"Transport, International organizations-Institutions, Europe","Multilateral","5 (p.327)",1945-09-27,1947,6,23,1945,9,27,"London",1945-09-27,1945,9,27,NA,NA,NA,NA,NA,NA
"117","Agreement fixing the telephone charges between the two countries","France, United Kingdom of Great Britain and Northern Ireland","",1920-06-01,"Telecommunications","Bilateral",NA,NA,1920,6,1,NA,NA,NA,"London",1920-01-10,1920,1,10,"Paris",1919-12-15,1919,12,15,"5 (p.53)"
"120","Agreement for the exchange of Money orders","China, United Kingdom of Great Britain and Northern Ireland","",1921-06-01,"Monetary matters","Bilateral",NA,NA,1921,6,1,NA,NA,NA,"Peking",1920-06-23,1920,6,23,"London",1920-04-26,1920,4,26,"5 (p.83)"
