"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"77","Agreement between His Majesty's Government in the United Kingdom and the Government of the Republic of Iceland concerning the transfer of Reykjavik Airfield to the Icelandic Government","Iceland, United Kingdom of Great Britain and Northern Ireland*","4 July 1946 by signature",1947-08-07,"Military matters, Aviation","Bilateral","6 (p.223)",1946-07-04,1947,8,7,1946,7,4,"Reykjavik",1946-07-04,1946,7,4,NA,NA,NA,NA,NA
"69","Agreement between His Majesty's Government in the United Kingdom and the Government of the Turkish Republic for Air Services between the United Kingdom and Turkey","Turkey, United Kingdom of Great Britain and Northern Ireland*","21 June 1946 by the exchange of the instruments of ratification",1947-07-30,"Transport, Services, Aviation","Bilateral","6 (p.79)",1946-06-21,1947,7,30,1946,6,21,"Ankara",1946-02-12,1946,2,12,NA,NA,NA,NA,NA
"65","Agreement between the Government of the United Kingdom and the Government of Portugal for Air Services traversing British and Portuguese Territories","Portugal, United Kingdom of Great Britain and Northern Ireland*","16 August 1946 by signature, in accordance with article 12",1947-07-30,"Territories, Transport","Bilateral","6 (p.3)",1946-08-16,1947,7,30,1946,8,16,"Lisbon",1945-12-06,1945,12,6,NA,NA,NA,NA,NA
"79","Agreement between the Government of the United Kingdom and the Royal Norwegian Government for the Supply of Certain Aircraft and Equipment to Norway","Norway, United Kingdom of Great Britain and Northern Ireland*","27 September 1946 by signature",1947-08-07,"Assistance, Aviation","Bilateral","6 (p.259)",1946-09-27,1947,8,7,1946,9,27,"Oslo",1946-09-27,1946,9,27,NA,NA,NA,NA,NA
"78","Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Royal Norwegian Government concerning Air Communications to, through and from Great Britian and Norway","Norway, United Kingdom of Great Britain and Northern Ireland*","31 August 1946 by signature",1947-08-07,"Transport, Telecommunications","Bilateral","6 (p.235)",1946-08-31,1947,8,7,1946,8,31,"London",1946-08-31,1946,8,31,NA,NA,NA,NA,NA
"40","Agreement between the Governments of the United States of America and the United States of Brazil relating to a naval mission","Brazil, United States of America*","7 May 1942 by signature",1947-08-11,"Navigation, Military matters","Bilateral","6 (p.377)",1942-05-07,1947,8,11,1942,5,7,"RiodeJaneiro",1942-05-07,1942,5,7,NA,NA,NA,NA,NA
"85","Agreement between the United States of America and the United States of Brazil on the disposition of lend-lease supplies in inventory or procurement in the United States of America","Brazil, United States of America*","28 June 1946 by signature",1947-08-11,"Lend-lease agreements","Bilateral","6 (p.327)",1946-06-28,1947,8,11,1946,6,28,"Washington",1946-06-28,1946,6,28,NA,NA,NA,NA,NA
"66","Agreement for the establishment of the European Coal Organisation","Belgium, Czechoslovakia, Denmark, France, Greece, Luxembourg, Netherlands, Norway, Poland, Turkey, United Kingdom of Great Britain and Northern Ireland, United States of America","1 January 1946 , in accordance with article 10",1947-07-30,"Europe, Charters-Constitutions-Statutes","Multilateral","6 (p.35)",1946-01-01,1947,7,30,1946,1,1,"London",1946-01-04,1946,1,4,NA,NA,NA,NA,NA
"83","Agreement on lend-lease and claims between the Governments of the United States of America and the Republic of Turkey","Turkey, United States of America*","25 May 1946 , in accordance with article VI",1947-08-11,"Lend-lease agreements, Claims-Debts","Bilateral","6 (p.293)",1946-05-25,1947,8,11,1946,5,25,"Ankara",1946-05-07,1946,5,7,NA,NA,NA,NA,NA
"87","Agreement on settlement for lend-lease and reciprocal aid, surplus war property, and claims.","New Zealand, United States of America*","10 July 1946",1947-08-11,"Lend-lease agreements, Claims-Debts, Military matters, Cooperation, Property matters","Bilateral","6 (p.341)",1946-07-10,1947,8,11,1946,7,10,"Washington",1946-07-10,1946,7,10,NA,NA,NA,NA,NA
"41","Exchange of notes between the United States of America and Sweden constituting an Agreement relating to air transport services","Sweden, United States of America*","1 January 1945 by signature",1947-08-11,"Transport, Services, Aviation","Bilateral","6 (p.397)",1945-01-01,1947,8,11,1945,1,1,"Washington",1944-12-16,1944,12,16,NA,NA,NA,NA,NA
