"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"173","Additional Protocol to the Convention on the Regime of Navigable Waterways of International Concern","Antigua and Barbuda, Fiji, India, Malta, Morocco, Nigeria, Slovakia, Solomon Islands, St. Vincent and the Grenadines","31 October 1922",1921-10-08,"Watercourses-Water resources, Navigation, Environment","Multilateral","7 (p.65)",1922-10-31,1921,10,8,1922,10,31,"Barcelona",1921-04-20,1921,4,20,NA,NA,NA,NA,NA
"107","Agreement between the Danish Government and the Government of India relating to money and property situated in Denmark and British India which have been subjected to special measures in consequence of the enemy occupation of Denmark","Denmark*, India","20 December 1946 by signature",1947-09-17,"Property matters, Monetary matters, Claims-Debts","Bilateral","7 (p.309)",1946-12-20,1947,9,17,1946,12,20,"London",1946-12-20,1946,12,20,NA,NA,NA,NA,NA
"93","Agreement between the Government of the United States of America and the Government of the Republic of Colombia relating to a Naval Mission","Colombia, United States of America*","14 October 1946 by signature",1947-08-11,"Assistance, Military matters","Bilateral","7 (p.97)",1946-10-14,1947,8,11,1946,10,14,"Washington",1946-10-14,1946,10,14,NA,NA,NA,NA,NA
"92","Agreement between the Government of the United States of America and the Government of the Republic of Peru for establishing a United States Army Air Forces Mission for the purpose of instruction of the personnel of the Peruvian Air Corps","Peru, United States of America*","7 October 1946 by signature",1947-08-11,"Military matters, Assistance","Bilateral","7 (p.71)",1946-10-07,1947,8,11,1946,10,7,"Washington",1946-10-07,1946,10,7,NA,NA,NA,NA,NA
"105","Agreement between the United States of America and Greece concerning aid to Greece","Greece, United States of America*","20 June 1947 by signature",1947-09-12,"Assistance","Bilateral","7 (p.267)",1947-06-20,1947,9,12,1947,6,20,"Athens",1947-06-20,1947,6,20,NA,NA,NA,NA,NA
"106","Agreement between the United States of America and Turkey concerning aid to Turkey","Turkey, United States of America*","12 July 1947 by signature, in accordance with article VII",1947-09-12,"Assistance","Bilateral","7 (p.299)",1947-07-12,1947,9,12,1947,7,12,"Ankara",1947-07-12,1947,7,12,NA,NA,NA,NA,NA
"99","Air Transport Agreement between the Government of the United States of America and the Government of New Zealand","New Zealand, United States of America*","3 December 1946 by signature",1947-08-14,"Transport, Aviation","Bilateral","7 (p.175)",1946-12-03,1947,8,14,1946,12,3,"Washington",1946-12-03,1946,12,3,NA,NA,NA,NA,NA
"100","Air Transport Agreement between the Government of the United States of America and the Government of the Commonwealth of Australia","Australia, United States of America*","3 December 1946 by signature",1947-08-14,"Transport, Aviation","Bilateral","7 (p.201)",1946-12-03,1947,8,14,1946,12,3,"Washington",1946-12-03,1946,12,3,NA,NA,NA,NA,NA
"97","Air transport Agreement between the United States of America and the Republic of the Philippines","Philippines, United States of America*","16 November 1946 by signature",1947-08-14,"Transport, Aviation","Bilateral","7 (p.151)",1946-11-16,1947,8,14,1946,11,16,"Manila",1946-11-16,1946,11,16,NA,NA,NA,NA,NA
"171","Convention and Statute on Freedom of Transit","Antigua and Barbuda, Armenia, Bosnia and Herzegovina, China, Croatia, Czech Republic, Fiji, Georgia, Khmer Republic, Laos, Lesotho, Liberia, Malta, Mauritius, Nepal, Nigeria, Rwanda, Slovakia, Slovenia, St. Vincent and the Grenadines, Swaziland, United Kingdom of Great Britain and Northern Ireland, Zimbabwe","31 October 1922 , in accordance with article 6",1921-10-08,"Tourism, Customs, Transport, Finance","Multilateral","7 (p.11)",1922-10-31,1921,10,8,1922,10,31,"Barcelona",1921-04-20,1921,4,20,NA,NA,NA,NA,NA
"90","Exchange of Notes between the United States of America and Chile constituting an Agreement regarding commercial relations","Chile, United States of America*","31 July 1946 by the exchange of the said notes",1947-08-11,"Trade, Cooperation","Bilateral","7 (p.41)",1946-07-31,1947,8,11,1946,7,31,"Santiago",1946-07-30,1946,7,30,"Santiago",1946-07-23,1946,7,23
"89","Exchange of Notes between the United States of America and Canada constituting an Agreement relating to the transfer of defense installations and equipment","Canada, United States of America*","31 March 1946 by the exchange of the said notes",1947-08-11,"Military matters, Property matters","Bilateral","7 (p.15)",1946-03-31,1947,8,11,1946,3,31,"Ottawa",1946-03-30,1946,3,30,NA,NA,NA,NA,NA
"108","Exchange of Notes between Denmark and Norway constituting a supplementary Agreement to the Convention of 9 July 1924 concerning East Greenland","Denmark*, Norway","9 July 1947 by signature",1947-09-17,"Territories","Bilateral","7 (p.321)",1947-07-09,1947,9,17,1947,7,9,"Copenhagen",1947-07-09,1947,7,9,NA,NA,NA,NA,NA
"101","Declaration recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice","Philippines","4 July 1946",1947-08-21,"International Court of Justice (ICJ), ICJ jurisdiction","Multilateral","7 (p.229)",1946-07-04,1947,8,21,1946,7,4,"Manila",1947-07-12,1947,7,12,NA,NA,NA,NA,NA
"174","Declaration recognising the Right to a Flag of States having no Sea-coast","Antigua and Barbuda, China, Croatia, Czech Republic, Federal Republic of Germany, Fiji, German Democratic Republic, Lesotho, Malawi, Malta, Mauritius, Mongolia, Rwanda, Slovakia, Solomon Islands, St. Vincent and the Grenadines, Swaziland, United Kingdom of Great Britain and Northern Ireland, Zimbabwe","20 April 1921",1921-10-08,"Navigation","Multilateral","7 (p.73)",1921-04-20,1921,10,8,1921,4,20,"Barcelona",1921-04-20,1921,4,20,NA,NA,NA,NA,NA
"104","Convention between Denmark and Sweden concerning the transfer of labour","Denmark*, Sweden","1 January 1947 by the exchange of the instruments of ratification, in accordance with article 7(2)",1947-09-05,"Labour","Bilateral","7 (p.251)",1947-01-01,1947,9,5,1947,1,1,"Copenhagen",1946-11-18,1946,11,18,NA,NA,NA,NA,NA
"172","Convention and Statute on the Regime of Navigable Waterways of International Concern","Antigua and Barbuda, China, Fiji, India, Khmer Republic, Malta, Morocco, Nigeria, Slovakia, Solomon Islands, St. Vincent and the Grenadines, Swaziland, United Kingdom of Great Britain and Northern Ireland, Zimbabwe","31 October 1922 , in accordance with article 6",1921-10-08,"Watercourses-Water resources, Navigation, Environment","Multilateral","7 (p.35)",1922-10-31,1921,10,8,1922,10,31,"Barcelona",1921-04-20,1921,4,20,NA,NA,NA,NA,NA
"171","Convention and Statute on Freedom of Transit","Antigua and Barbuda, Armenia, Bosnia and Herzegovina, China, Croatia, Czech Republic, Fiji, Georgia, Khmer Republic, Laos, Lesotho, Liberia, Malta, Mauritius, Nepal, Nigeria, Rwanda, Slovakia, Slovenia, St. Vincent and the Grenadines, Swaziland, United Kingdom of Great Britain and Northern Ireland, Zimbabwe","31 October 1922 , in accordance with article 6",1921-10-08,"Tourism, Customs, Transport, Finance","Multilateral","7 (p.11)",1922-10-31,1921,10,8,1922,10,31,"Barcelona",1921-04-20,1921,4,20,NA,NA,NA,NA,NA
"97","Air transport Agreement between the United States of America and the Republic of the Philippines","Philippines, United States of America*","16 November 1946 by signature",1947-08-14,"Transport, Aviation","Bilateral","7 (p.151)",1946-11-16,1947,8,14,1946,11,16,"Manila",1946-11-16,1946,11,16,NA,NA,NA,NA,NA
"100","Air Transport Agreement between the Government of the United States of America and the Government of the Commonwealth of Australia","Australia, United States of America*","3 December 1946 by signature",1947-08-14,"Transport, Aviation","Bilateral","7 (p.201)",1946-12-03,1947,8,14,1946,12,3,"Washington",1946-12-03,1946,12,3,NA,NA,NA,NA,NA
"99","Air Transport Agreement between the Government of the United States of America and the Government of New Zealand","New Zealand, United States of America*","3 December 1946 by signature",1947-08-14,"Transport, Aviation","Bilateral","7 (p.175)",1946-12-03,1947,8,14,1946,12,3,"Washington",1946-12-03,1946,12,3,NA,NA,NA,NA,NA
"106","Agreement between the United States of America and Turkey concerning aid to Turkey","Turkey, United States of America*","12 July 1947 by signature, in accordance with article VII",1947-09-12,"Assistance","Bilateral","7 (p.299)",1947-07-12,1947,9,12,1947,7,12,"Ankara",1947-07-12,1947,7,12,NA,NA,NA,NA,NA
"105","Agreement between the United States of America and Greece concerning aid to Greece","Greece, United States of America*","20 June 1947 by signature",1947-09-12,"Assistance","Bilateral","7 (p.267)",1947-06-20,1947,9,12,1947,6,20,"Athens",1947-06-20,1947,6,20,NA,NA,NA,NA,NA
"92","Agreement between the Government of the United States of America and the Government of the Republic of Peru for establishing a United States Army Air Forces Mission for the purpose of instruction of the personnel of the Peruvian Air Corps","Peru, United States of America*","7 October 1946 by signature",1947-08-11,"Military matters, Assistance","Bilateral","7 (p.71)",1946-10-07,1947,8,11,1946,10,7,"Washington",1946-10-07,1946,10,7,NA,NA,NA,NA,NA
