"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"282","Agreement between Norway and the Union of Soviet Socialist Republics concerning trade and payments","Norway*, Union of Soviet Socialist Republics","27 December 1946 by signature, in accordance with article 13",1948-08-19,"Payments, Trade","Bilateral","17 (p.283)",1946-12-27,1948,8,19,1946,12,27,"Moscow",1946-12-27,1946,12,27,NA,NA,NA,NA,NA
"268","Agreement between the Government of India and the Government of the Netherlands relating to air services","India, Netherlands*","31 May 1947 by notification",1948-07-27,"Transport, Aviation","Bilateral","17 (p.65)",1947-05-31,1948,7,27,1947,5,31,"NewDelhi",1947-05-31,1947,5,31,NA,NA,NA,NA,NA
"277","Agreement between the Government of the United Kingdom and the Government of New Zealand for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income","New Zealand, United Kingdom of Great Britain and Northern Ireland*","8 August 1947 , in accordance with article XVII",1948-08-06,"Taxation","Bilateral","17 (p.211)",1947-08-08,1948,8,6,1947,8,8,"London",1947-05-27,1947,5,27,NA,NA,NA,NA,NA
"276","Agreement between the Government of the United Kingdom and the Government of the Commonwealth of Australia for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income","Australia, United Kingdom of Great Britain and Northern Ireland*","3 June 1947 , in accordance with article XV",1948-08-06,"Taxation","Bilateral","17 (p.181)",1947-06-03,1948,8,6,1947,6,3,"London",1946-10-29,1946,10,29,NA,NA,NA,NA,NA
"267","Agreement between the Government of the United States of America and the Government of the Kingdom of the Netherlands regarding the settlement for lend-lease, reciprocal aid, surplus property, military relief, and claims","Netherlands*, United States of America","28 May 1947 by notification, in accordance with article 10(E)",1948-07-27,"Lend-lease agreements, Assistance, Claims-Debts, Military matters, Property matters","Bilateral","17 (p.29)",1947-05-28,1948,7,27,1947,5,28,"Washington",1947-05-28,1947,5,28,NA,NA,NA,NA,NA
"275","Agreement between the Governments of Canada and Newfoundland on air transport between Canada and Newfoundland","Canada, Newfoundland","29 July 1946 by signature, in accordance with article XXII",1948-08-06,"Transport, Aviation","Bilateral","17 (p.169)",1946-07-29,1948,8,6,1946,7,29,"St.John's",1946-07-29,1946,7,29,NA,NA,NA,NA,NA
"274","Agreement between the Governments of Canada, Newfoundland and the United Kingdom respecting defence installations in Newfoundland","Canada, Newfoundland, United Kingdom of Great Britain and Northern Ireland*","31 March 1946 , in accordance with article 6",1948-08-06,"Military matters, Cooperation","Multilateral","17 (p.159)",1946-03-31,1948,8,6,1946,3,31,"St.John's",1946-03-31,1946,3,31,NA,NA,NA,NA,NA
"266","Agreement between the Netherlands and Belgium concerning cultural and intellectual relations","Belgium, Netherlands*","22 December 1947 by the exchange of the instruments of ratification, in accordance with article 15",1948-07-27,"Cultural matters","Bilateral","17 (p.13)",1947-12-22,1948,7,27,1947,12,22,"TheHague",1946-05-16,1946,5,16,NA,NA,NA,NA,NA
"270","Air Transport Agreement between the Government of the Netherlands and the Austrian Federal Government","Austria, Netherlands*","22 January 1948 by signature",1948-07-27,"Transport, Aviation","Bilateral","17 (p.99)",1948-01-22,1948,7,27,1948,1,22,"Vienna",1948-01-22,1948,1,22,NA,NA,NA,NA,NA
"439","Convention between Latvia and Lithuania regarding the rights of citizens","Latvia*, Lithuania","20 May 1922 by the exchange of the instruments of ratification, in accordance with article 16",1923-06-16,"Nationality, Human rights","Bilateral","17 (p.233)",1922-05-20,1923,6,16,1922,5,20,"Riga",1921-05-14,1921,5,14,NA,NA,NA,NA,NA
