"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day","Place3","Date3","Date3_Year","Date3_Month","Date3_Day"
"298","Agreement between the Economic Union of Belgium and Luxembourg and the Soviet Military Administration in Germany regarding payments resulting from the commercial agreement concluded between the two parties","Belgium (on behalf of Belgium and Luxembourg in the name of the Belgo-Luxembourg Economic Union), Soviet Military Administration for Germany","10 November 1947 , in accordance with article 7",1948-10-27,"Payments, Trade","Bilateral","18 (p.299)",1947-11-10,1948,10,27,1947,11,10,"Berlin",1947-11-10,1947,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Agreement between the Government of New Zealand and the Government of the United States of America for the use of funds made available in accordance with the Agreement, signed at Washington on 10 July 1946, between the Government of New Zealand and the Government of the United States ofAmerica on settlement for lend-lease and reciprocal aid, surplus war property, and claims","New Zealand*, United States of America","14 September 1948 by signature, in accordance with article 16",1948-10-18,"Lend-lease agreements, Claims-Debts, Cooperation, Property matters, Finance","Bilateral","18 (p.251)",1948-09-14,1948,10,18,1948,9,14,"Wellington",1948-09-14,1948,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Agreement between the International Labour Organisation and the Food and Agriculture Organisation of the United Nations","Food and Agriculture Organization of the United Nations, International Labour Organisation*","11 September 1947 , in accordance with article 9",1948-08-20,"Cooperation","Bilateral","18 (p.335)",1947-09-11,1948,8,20,1947,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Agreement between the International Labour Organisation and the United Nations Educational, Scientific and Cultural Organization","International Labour Organisation*, United Nations Educational, Scientific and Cultural Organization","15 December 1947 , in accordance with article XI",1948-08-23,"International Labour Organisation (ILO), Scientific matters, Cultural matters, Cooperation","Bilateral","18 (p.345)",1947-12-15,1948,8,23,1947,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Agreement concerning payments between Denmark and Norway","Denmark*, Norway","1 April 1948 , in accordance with article 8",1948-08-20,"Payments","Bilateral","18 (p.139)",1948-04-01,1948,8,20,1948,4,1,"Copenhagen",1948-04-21,1948,4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","Agreement on most-favoured-nation treatment for areas of Western Germany under military occupation*","Belgium, Belgium, Brazil, Canada, Canada, Ceylon, Ceylon, Ceylon, China, China, Denmark, Denmark, Dominican Republic, Dominican Republic, France, France, Greece, Greece, India, India, India, Luxembourg, Luxembourg, Netherlands, Netherlands, Netherlands, Norway, Norway, Pakistan, Pakistan, Pakistan, Syria, Union of South Africa, Union of South Africa, Union of South Africa, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United States of America, United States of America","14 October 1948 , in accordance with article V",1948-10-14,"Geographical names, Trade, Military matters","Multilateral","18 (p.267)",1948-10-14,1948,10,14,1948,10,14,"Geneva",1948-09-14,1948,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","Arrangement concluded between the Belgian and the Netherlands Postal Administrations. General Provisions","Belgium*, Netherlands","1 April 1947 , in accordance with article 18",1948-10-28,"Postal services","Bilateral","18 (p.309)",1947-04-01,1948,10,28,1947,4,1,"TheHague",1947-03-25,1947,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Australian-New Zealand Agreement 1944.","Australia*, New Zealand","21 June 1944 by the exchange of the instruments of ratification, in accordance with article 43",1948-09-08,"Information, Mutual relations, Cooperation","Bilateral","18 (p.357)",1944-06-21,1948,9,8,1944,6,21,"Canberra",1944-01-21,1944,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Constitution of the International Refugee Organization*","Argentina, Australia, Belgium, Belgium, Bolivia, Brazil, Canada, Canada, China, Denmark, Dominican Republic, Dominican Republic, France, France, Guatemala, Guatemala, Honduras, Iceland, Italy, Liberia, Luxembourg, Netherlands, Netherlands, New Zealand, None, None, Nordic Development Fund, Nordic Development Fund, Nordic Development Fund, Nordic Development Fund, Norway, Norway, Panama, Peru, Philippines, Switzerland, United Kingdom of Great Britain and Northern Ireland, United States of America, United States of America, Venezuela, Venezuela","20 August 1948 , in accordance with article 18",1948-08-20,"International organizations-Institutions, Charters-Constitutions-Statutes, Human rights, Refugees","Multilateral","18 (p.3)",1948-08-20,1948,8,20,1948,8,20,"NewYork",1946-12-15,1946,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Declaration exchanged between Belgium and the Principality of Monaco regarding the reciprocal issue, free of charge, of copies of civil status records required for administrative purposes or for indigent persons","Belgium*, Monaco","5 July 1948",1948-10-18,"Civil matters, Administration","Bilateral","18 (p.245)",1948-07-05,1948,10,18,1948,7,5,"Brussels",1948-06-05,1948,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
