"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Place3","Date3","Place4","Date4","place5","Date5","Date2_Year","Date2_Month","Date2_Day","Date3_Year","Date3_Month","Date3_Day","Date4_Year","Date4_Month","Date4_Day","Date5_Year","Date5_Month","Date5_Day"
"131","Agreement between the Government of the United States of America and the Government of the Republic of Paraguay relating to a military mission to the Republic of Paraguay","Paraguay, United States of America*","10 December 1943 by signature",1948-12-10,"Assistance, Military matters","Bilateral","21 (p.305)",1943-12-10,1948,12,10,1943,12,10,"Washington",1943-12-10,1943,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","Economic Cooperation Agreement between United States of America and Austria","Austria, United States of America*","2 July 1948 by signature, in accordance with article XI",1948-12-10,"Economic matters, Cooperation","Bilateral","21 (p.29)",1948-07-02,1948,12,10,1948,7,2,"Vienna",1948-07-02,1948,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Exchange of Communications between the Governments of the United States of America and of Mexico constituting an agreement relating to a fisheries mission to Mexico","Mexico, United States of America*","24 October 1942 by the exchange of the said notes",1948-12-10,"Fishing and fisheries","Bilateral","21 (p.189)",1942-10-24,1948,12,10,1942,10,24,"Mexico,D.F.",1942-10-24,1942,10,24,"Mexico,D.F.",1942-07-27,"Mexico,D.F.",1942-07-22,"Mexico,D.F.",1942-05-22,"Mexico,D.F.",1942-04-17,1942,7,27,1942,7,22,1942,5,17,1942,4,17
"126","Exchange of notes between the Governments of the United States of America and of Canada constituting an agreement relating to the access to the Alaska Highway","Canada, United States of America*","10 April 1943 by the exchange of the said notes",1948-12-10,"Roads, Alaska","Bilateral","21 (p.237)",1943-04-10,1948,12,10,1943,4,10,"Ottawa",1943-04-10,1943,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Exchange of notes between the Governments of the United States of America and of El Salvador constituting an agreement relating to a health and sanitation programme in El Salvador","El Salvador, United States of America*","5 May 1942 by the exchange of the said notes",1948-12-10,"Sanitation, Health and health services","Bilateral","21 (p.215)",1942-05-05,1948,12,10,1942,5,5,"SanSalvador",1942-05-05,1942,5,5,"SanSalvador",1942-05-04,NA,NA,NA,NA,NA,NA,1942,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Exchange of notes between the Governments of the United States of America and of Mexico constituting an agreement revising the Agreement of 4 August 1942 relating to the temporary migration of Mexican agricultural workers","Mexico, United States of America*","26 April 1943 by the exchange of the said notes",1948-12-10,"Migration, Labour, Agriculture","Bilateral","21 (p.245)",1943-04-26,1948,12,10,1943,4,26,"Mexico,D.F.",1943-04-26,1943,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Exchange of notes between the Governments of the United States of America and of Panama constituting an agreement relating to the construction of a section of the Inter-American Highway in Panama","Panama, United States of America*","7 June 1943 by the exchange of the said notes",1948-12-10,"Construction, Roads, Transport","Bilateral","21 (p.269)",1943-06-07,1948,12,10,1943,6,7,"Panama",1943-06-07,1943,6,7,"Panama",1943-05-15,NA,NA,NA,NA,NA,NA,1943,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Exchange of notes between the Governments of the United States of America and of the Dominican Republic approving the Memorandum of understanding of 20 May 1943 relating to the purchase by the Government of the United States of America of the Exportable surplus of certain Dominican food products","Dominican Republic, United States of America*","10 June 1943 by the exchange of the said notes",1948-12-10,"Food, Assistance, Trade","Bilateral","21 (p.277)",1943-06-10,1948,12,10,1943,6,10,"CiudadTrujillo",1943-06-10,1943,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Exchange of notes between the Governments of the United States of America and of Venezuela constituting an agreement relating to a co-operative health and sanitation programme in Venezuela","United States of America*, Venezuela","18 February 1943 by the exchange of the said notes",1948-12-10,"Sanitation, Health and health services","Bilateral","21 (p.225)",1943-02-18,1948,12,10,1943,2,18,"Caracas",1943-02-18,1943,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","Exchange of Notes constituting an agreement between the United States of America and Canada relating to the patent rights in connecion with RDX and other explosives","Canada, United States of America*","27 September 1946 by the exchange of the said notes",1948-12-10,"Arms, Patents","Bilateral","21 (p.3)",1946-09-27,1948,12,10,1946,9,27,"Washington",1946-09-27,1946,9,27,"Washington",1946-09-03,NA,NA,NA,NA,NA,NA,1946,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Exchange of notes between the Governments of the United States of America and of Panama constituting an agreement relating to the construction of a section of the Inter-American Highway in Panama","Panama, United States of America*","7 June 1943 by the exchange of the said notes",1948-12-10,"Construction, Roads, Transport","Bilateral","21 (p.269)",1943-06-07,1948,12,10,1943,6,7,"Panama",1943-06-07,1943,6,7,"Panama",1943-05-15,NA,NA,NA,NA,NA,NA,1943,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
