"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"346","Agreement between Denmark and Iceland respecting the transfer of members between the State-approved sick funds and the State-controlled continuation sick funds in Denmark, of the one part, and the National Insurance (sickness insurance) Institution in Iceland, of the other part","Denmark*, Iceland","1 January 1949 , in accordance with section III",1949-01-05,"Insurance, Social matters, Labour","Bilateral","23 (p.163)",1949-01-01,1949,1,5,1949,1,1,"Reykjavik",1948-05-14,1948,5,14,NA,NA,NA,NA,NA
"133","Agreement between France and Belgium concerning minor frontier traffic","Belgium*, France","21 May 1945 by signature",1949-01-05,"Frontiers","Bilateral","23 (p.215)",1945-05-21,1949,1,5,1945,5,21,"Paris",1945-05-21,1945,5,21,NA,NA,NA,NA,NA
"137","Agreement between the Governments of the United States of America and of Liberia relating to defence areas within the Republic of Liberia","Liberia, United States of America*","31 March 1942 by signature",1949-01-06,"Military matters","Bilateral","23 (p.301)",1942-03-31,1949,1,6,1942,3,31,"Monrovia",1942-03-31,1942,3,31,NA,NA,NA,NA,NA
"342","Economic Co-operation Agreement between the United States of America and Greece","Greece, United States of America*","3 July 1948 by the exchange of the instruments of ratification, in accordance with article XIII",1948-12-24,"Economic matters, Cooperation","Bilateral","23 (p.43)",1948-07-03,1948,12,24,1948,7,3,"Athens",1948-07-02,1948,7,2,NA,NA,NA,NA,NA
"343","Economic Co-operation Agreement between the United States of America and Sweden","Sweden, United States of America*","21 July 1948",1948-12-24,"Economic matters, Cooperation","Bilateral","23 (p.101)",1948-07-21,1948,12,24,1948,7,21,"Stockholm",1948-07-03,1948,7,3,NA,NA,NA,NA,NA
"340","Economic Co-operation Agreement between the United States of America and the United Sates and United Kingdom occupied areas in Germany","United States of America*, United States/United Kingdom Occupied Areas in Germany","14 July 1948 by signature, in accordance with article XI",1948-12-24,"Military matters, Economic matters, Cooperation","Bilateral","23 (p.3)",1948-07-14,1948,12,24,1948,7,14,"Berlin",1948-07-14,1948,7,14,NA,NA,NA,NA,NA
"348","Exchange of letters between Belgium and Sweden constituting an agreement for the unfreezing of assets","Belgium*, Sweden","30 December 1946 by the exchange of the said letters",1949-01-06,"Claims-Debts, Property matters","Bilateral","23 (p.197)",1946-12-30,1949,1,6,1946,12,30,"Brussels",1946-12-30,1946,12,30,NA,NA,NA,NA,NA
"347","Exchange of Letters between Belgium and the Netherlands constituting an agreement for the unfreezing of assets","Belgium*, Netherlands","12 October 1946 by the exchange of the said letters",1949-01-06,"Claims-Debts, Property matters","Bilateral","23 (p.179)",1946-10-12,1949,1,6,1946,10,12,"TheHague",1946-10-12,1946,10,12,"Brussels",1946-10-04,1946,10,4
"341","Exchange of Letters between the Governments of Belgium and of Czechoslovakia constituting an agreement concerning Belgian property nationalized, confiscated or transferred by the Czechoslovak National Administration","Belgium*, Czechoslovakia","12 October 1948",1948-12-24,"Claims-Debts, Property matters","Bilateral","23 (p.35)",1948-10-12,1948,12,24,1948,10,12,"Brussels",1947-03-19,1947,3,19,NA,NA,NA,NA,NA
"344","Exchange of letters between the Governments of Belgium and of Switzerland constituting an agreement relating to the free transit of the staff engaged in air services","Belgium*, Switzerland","1 September 1948 by the exchange of the said letters",1948-12-24,"Transport, Customs, Aviation","Bilateral","23 (p.139)",1948-09-01,1948,12,24,1948,9,1,"Bern",1948-09-01,1948,9,1,NA,NA,NA,NA,NA
"342","Economic Co-operation Agreement between the United States of America and Greece","Greece, United States of America*","3 July 1948 by the exchange of the instruments of ratification, in accordance with article XIII",1948-12-24,"Economic matters, Cooperation","Bilateral","23 (p.43)",1948-07-03,1948,12,24,1948,7,3,"Athens",1948-07-02,1948,7,2,NA,NA,NA,NA,NA
"137","Agreement between the Governments of the United States of America and of Liberia relating to defence areas within the Republic of Liberia","Liberia, United States of America*","31 March 1942 by signature",1949-01-06,"Military matters","Bilateral","23 (p.301)",1942-03-31,1949,1,6,1942,3,31,"Monrovia",1942-03-31,1942,3,31,NA,NA,NA,NA,NA
"133","Agreement between France and Belgium concerning minor frontier traffic","Belgium*, France","21 May 1945 by signature",1949-01-05,"Frontiers","Bilateral","23 (p.215)",1945-05-21,1949,1,5,1945,5,21,"Paris",1945-05-21,1945,5,21,NA,NA,NA,NA,NA
"346","Agreement between Denmark and Iceland respecting the transfer of members between the State-approved sick funds and the State-controlled continuation sick funds in Denmark, of the one part, and the National Insurance (sickness insurance) Institution in Iceland, of the other part","Denmark*, Iceland","1 January 1949 , in accordance with section III",1949-01-05,"Insurance, Social matters, Labour","Bilateral","23 (p.163)",1949-01-01,1949,1,5,1949,1,1,"Reykjavik",1948-05-14,1948,5,14,NA,NA,NA,NA,NA
