"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Place2","Date2","Date1_Year","Date1_Month","Date1_Day","Date2_Year","Date2_Month","Date2_Day"
"525","Agreement between Military Governments for Germany (US/UK) and Denmark concerning payments for trade between Denmark and the United States and United Kingdom occupied areas of Germany","Denmark*, French Military Government for Germany, United Kingdom Military Government for Germany, United States Military Government for Germany","22 October 1947 by signature",1949-08-22,"Trade","Multilateral","34 (p.23)",1947-10-22,1949,8,22,1947,10,22,"Berlin",1947-10-05,"Copenhagen",1947-10-22,1947,10,5,1947,10,22
"527","Agreement between Portugal and Belgium on air transport","Belgium*, Portugal","22 October 1946 by signature, in accordance with article XI",1949-08-25,"Transport, Aviation","Bilateral","34 (p.49)",1946-10-22,1949,8,25,1946,10,22,"Lisbon",1946-10-22,NA,NA,1946,10,22,NA,NA,NA
"529","Agreement between the Belgian Government and the Royal Egyptian Government for the release of blocked assets","Belgium*, Egypt","1 July 1947 by signature, in accordance with article 11",1949-08-25,"Claims-Debts, Property matters","Bilateral","34 (p.93)",1947-07-01,1949,8,25,1947,7,1,"Cairo",1947-07-01,NA,NA,1947,7,1,NA,NA,NA
"543","Agreement between the Government of India and the Government of Sweden relating to air services","India, Sweden","21 May 1948 by signature, in accordance with article XII",1949-09-07,"Transport, Aviation","Bilateral","34 (p.285)",1948-05-21,1949,9,7,1948,5,21,"NewDelhi",1948-05-21,NA,NA,1948,5,21,NA,NA,NA
"534","Agreement between the Government of the United States of America and the Government of Austria relating to relief assistance to the people of Austria","Austria, United States of America*","2 January 1948 by signature, in accordance with article III(2)",1949-08-26,"Assistance","Bilateral","34 (p.141)",1948-01-02,1949,8,26,1948,1,2,"Vienna",1948-01-02,NA,NA,1948,1,2,NA,NA,NA
"537","Agreement between the Government of the United States of America and the Government of the Federal People's Republic of Yugoslavia regarding settlement for lend-lease, military relief, and claims","United States of America*, Yugoslavia (Socialist Federal Republic of)","19 July 1948 by signature, in accordance with paragraph 11",1949-08-26,"Lend-lease agreements, Assistance, Claims-Debts, Military matters","Bilateral","34 (p.195)",1948-07-19,1949,8,26,1948,7,19,"Washington",1948-07-19,NA,NA,1948,7,19,NA,NA,NA
"532","Agreement between the Government of the United States of America and the Government of the Republic of China under section 3 (c) of the Lend-Lease Act (implementing the preliminary agreement of 2 June 1942 between the two Governments on the principles applying to mutual aid in the prosecution of the war against aggression).","China, United States of America*","28 June 1946 by signature, in accordance with article VI",1949-08-26,"War, Lend-lease agreements, Assistance","Bilateral","34 (p.121)",1946-06-28,1949,8,26,1946,6,28,"Washington",1946-06-28,NA,NA,1946,6,28,NA,NA,NA
"535","Agreement between the Government of the United States of America and the Royal Norwegian Government regarding settlement for lend-lease military relief, and claims","Norway, United States of America*","24 February 1948 by signature",1949-08-26,"Lend-lease agreements, Assistance, Claims-Debts, Military matters","Bilateral","34 (p.155)",1948-02-24,1949,8,26,1948,2,24,"Washington",1948-02-24,NA,NA,1948,2,24,NA,NA,NA
"545","Agreement between the Kingdom of Norway and Ireland for air services between the two countries","Ireland, Norway","21 June 1948 by signature, in accordance with article 12",1949-09-07,"Transport, Aviation","Bilateral","34 (p.317)",1948-06-21,1949,9,7,1948,6,21,"London",1948-06-21,NA,NA,1948,6,21,NA,NA,NA
"546","Agreement on civil air transport between the Governments of Mexico and Portugal","Mexico, Portugal","22 October 1948 by signature, in accordance with article XIII",1949-09-07,"Transport, Aviation","Bilateral","34 (p.329)",1948-10-22,1949,9,7,1948,10,22,"Lisbon",1948-10-22,NA,NA,1948,10,22,NA,NA,NA
"544","Exchange of notes constituting an agreement between the Government of the United Kingdom and the Government of Portugal for the extension of transit facilities in the Azores to British Military aircraft","Portugal, United Kingdom of Great Britain and Northern Ireland","25 May 1948 by the exchange of the said notes",1949-09-07,"Military matters, Aviation","Bilateral","34 (p.311)",1948-05-25,1949,9,7,1948,5,25,"Lisbon",1948-05-25,NA,NA,1948,5,25,NA,NA,NA
"538","Exchange of notes constituting an agreement between the Government of New Zealand and the Government of the Netherlands concerning the mutual abolition of visas","Netherlands, New Zealand*","1 April 1949 , in accordance with the provisions of the said notes",1949-08-29,"Passports","Bilateral","34 (p.207)",1949-04-01,1949,8,29,1949,4,1,"Wellington",1949-03-03,NA,NA,1949,3,3,NA,NA,NA
"533","Exchange of notes constituting an agreement between the Governments of the United States of America and the United Kingdom of Great Britain and Northern Ireland relating to the furnishing of military equipment and supplies to the Government of Greece for the Greek armed forces","United Kingdom of Great Britain and Northern Ireland, United States of America*","9 October 1947 by the exchange of the said notes",1949-08-26,"Assistance, Military matters","Bilateral","34 (p.129)",1947-10-09,1949,8,26,1947,10,9,"Washington",1947-10-09,"Washington",1947-07-25,1947,10,9,1947,7,25
"522","Exchange of letters constituting an agreement between the Governments of Belgium and Sweden concerning the abolition of passport visas in the relations between the two countries","Belgium*, Sweden","20 March 1947 by the exchange of the said letters",1949-08-17,"Passports","Bilateral","34 (p.3)",1947-03-20,1949,8,17,1947,3,20,"Stockholm",1947-03-20,NA,NA,1947,3,20,NA,NA,NA
"526","Cultural Convention between the United Kingdom and Norway","Norway*, United Kingdom of Great Britain and Northern Ireland","28 February 1949 by the exchange of the instruments of ratification, in accordance with article 20",1949-08-23,"Cultural matters","Bilateral","34 (p.33)",1949-02-28,1949,8,23,1949,2,28,"London",1948-02-19,NA,NA,1948,2,19,NA,NA,NA
"867","Consular Convention. Signed at Rome, March 1, 1924","Czechoslovakia*, Italy*","19 January 1925",NA,"Diplomatic and consular relations","Bilateral","34 (p.55)",1925-01-19,NA,NA,NA,1925,1,19,"Rome",1924-03-01,NA,NA,1924,3,1,NA,NA,NA
