"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day"
"552","Agreement between the Government of India and the Government of the Commonwealth of Australia relating to air services","Australia, India","11 July 1949 , in accordance with article XII",1949-09-07,"Transport, Aviation","Bilateral","35 (p.83)",1949-07-11,1949,9,7,1949,7,11,"NewDelhi",1949-07-11,1949,7,11
"550","Agreement between the Government of Norway and the Government of Pakistan relating to air services","Norway, Pakistan","23 June 1949 by signature, in accordance with article XII",1949-09-07,"Transport, Aviation","Bilateral","35 (p.49)",1949-06-23,1949,9,7,1949,6,23,"Karachi",1949-06-23,1949,6,23
"549","Agreement between the Government of Pakistan and the Government of the Commonwealth of Australia relating to air services","Australia, Pakistan","3 June 1949 , in accordance with article XII",1949-09-07,"Transport, Aviation","Bilateral","35 (p.23)",1949-06-03,1949,9,7,1949,6,3,"Karachi",1949-06-03,1949,6,3
"553","Agreement between the Government of the Republic of the Philippines and the Government of Pakistan relating to air services","Pakistan, Philippines","16 July 1949 by signature, in accordance with article XV",1949-09-07,"Transport, Aviation","Bilateral","35 (p.111)",1949-07-16,1949,9,7,1949,7,16,"Karachi",1949-07-16,1949,7,16
"554","Agreement between the Government of the United Kingdom and the Government of Ceylon for air services between and beyond their respective territories","Ceylon, United Kingdom of Great Britain and Northern Ireland","5 August 1949 by signature, in accordance with article 14",1949-09-07,"Transport, Aviation","Bilateral","35 (p.137)",1949-08-05,1949,9,7,1949,8,5,"Colombo",1949-08-05,1949,8,5
"555","Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Greece for air services in Europe","Greece, United Kingdom of Great Britain and Northern Ireland","26 November 1945 by signature",1949-09-07,"Transport, Aviation","Bilateral","35 (p.163)",1945-11-26,1949,9,7,1945,11,26,"Athens",1945-11-26,1945,11,26
"560","Agreement between the Royal Greek Government and the Royal Danish Government relating to the operation of regular air services","Denmark, Greece","14 November 1947 by signature, definitively on 22 December 1948 , in accordance with article 12 and with retroactive effect from 14 November 1947 by signature, in accordance with article 12",1949-09-07,"Transport, Aviation","Bilateral","35 (p.295)",1947-11-14,1949,9,7,1947,11,14,"Athens",1947-11-14,1947,11,14
"556","Agreement on air transport between French and Portuguese territories","France, Portugal","30 April 1946 by signature, in accordance with article XI",1949-09-07,"Transport, Aviation","Bilateral","35 (p.199)",1946-04-30,1949,9,7,1946,4,30,"Lisbon",1946-04-30,1946,4,30
"563","Air Transport Agreement between the Governments of Portugal and Denmark","Denmark, Portugal","15 December 1947 by signature, in accordance with article XII",1949-09-07,"Transport, Aviation","Bilateral","35 (p.329)",1947-12-15,1949,9,7,1947,12,15,"Lisbon",1947-12-15,1947,12,15
"558","Air Transport Agreement between the Governments of Sweden and Portugal","Portugal, Sweden","6 March 1947 by signature, in accordance with article 13",1949-09-07,"Transport, Aviation","Bilateral","35 (p.245)",1947-03-06,1949,9,7,1947,3,6,"Lisbon",1947-03-06,1947,3,6
"560","Agreement between the Royal Greek Government and the Royal Danish Government relating to the operation of regular air services","Denmark, Greece","14 November 1947 by signature, definitively on 22 December 1948 , in accordance with article 12 and with retroactive effect from 14 November 1947 by signature, in accordance with article 12",1949-09-07,"Transport, Aviation","Bilateral","35 (p.295)",1947-11-14,1949,9,7,1947,11,14,"Athens",1947-11-14,1947,11,14
"555","Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Greece for air services in Europe","Greece, United Kingdom of Great Britain and Northern Ireland","26 November 1945 by signature",1949-09-07,"Transport, Aviation","Bilateral","35 (p.163)",1945-11-26,1949,9,7,1945,11,26,"Athens",1945-11-26,1945,11,26
"554","Agreement between the Government of the United Kingdom and the Government of Ceylon for air services between and beyond their respective territories","Ceylon, United Kingdom of Great Britain and Northern Ireland","5 August 1949 by signature, in accordance with article 14",1949-09-07,"Transport, Aviation","Bilateral","35 (p.137)",1949-08-05,1949,9,7,1949,8,5,"Colombo",1949-08-05,1949,8,5
"553","Agreement between the Government of the Republic of the Philippines and the Government of Pakistan relating to air services","Pakistan, Philippines","16 July 1949 by signature, in accordance with article XV",1949-09-07,"Transport, Aviation","Bilateral","35 (p.111)",1949-07-16,1949,9,7,1949,7,16,"Karachi",1949-07-16,1949,7,16
"549","Agreement between the Government of Pakistan and the Government of the Commonwealth of Australia relating to air services","Australia, Pakistan","3 June 1949 , in accordance with article XII",1949-09-07,"Transport, Aviation","Bilateral","35 (p.23)",1949-06-03,1949,9,7,1949,6,3,"Karachi",1949-06-03,1949,6,3
"550","Agreement between the Government of Norway and the Government of Pakistan relating to air services","Norway, Pakistan","23 June 1949 by signature, in accordance with article XII",1949-09-07,"Transport, Aviation","Bilateral","35 (p.49)",1949-06-23,1949,9,7,1949,6,23,"Karachi",1949-06-23,1949,6,23
"552","Agreement between the Government of India and the Government of the Commonwealth of Australia relating to air services","Australia, India","11 July 1949 , in accordance with article XII",1949-09-07,"Transport, Aviation","Bilateral","35 (p.83)",1949-07-11,1949,9,7,1949,7,11,"NewDelhi",1949-07-11,1949,7,11
