"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day"
"623","Convention (No. 41) concerning employment of women during the night (revised 1934), as modified by theFinal Articles Revision Convention, 1946","Afghanistan, Argentina, Belgium, Brazil, Burma, Burma, Central African Republic, Ceylon, Chad, Congo (Brazzaville), Dahomey, Egypt, Estonia, France, Gabon, Greece, Guinea, Hungary, Hungary, India, Iraq, Ireland, Ivory Coast, Madagascar, Mali, Mali, Mauritania, Morocco, Netherlands, Netherlands, New Zealand, Niger, Pakistan, Peru, Peru, Senegal, Suriname, Switzerland, Togo, Union of South Africa, United Kingdom of Great Britain and Northern Ireland, Upper Volta, Venezuela","22 November 1936 , in accordance with article 10",1949-09-15,"Women, Labour","Multilateral","40 (p.3)",1936-11-22,1949,9,15,1936,11,22,"Geneva",1934-06-19,1934,6,19
"624","Convention (No. 42) concerning workmen's compensation for occupational diseases (revised 1934), as modified by the Final Articles Revision Convention 1946","Algeria, Argentina, Australia, Australia, Australia, Australia, Austria, Bahamas, Barbados, Belgium, Belgium, Belize, Bolivia, Brazil, Bulgaria, Burma, Burundi, Chile, Chile, Comoros, Congo (Leopoldville), Cuba, Czech Republic, Czechoslovakia, Denmark, Federal Republic of Germany, Finland, France, France, France, France, France, Greece, Guyana, Haiti, Honduras, Hungary, India, Iraq, Ireland, Italy, Italy, Japan, Luxembourg, Malta, Mauritius, Mexico, Morocco, Netherlands, Netherlands, Netherlands, Netherlands, New Zealand, Norway, Panama, Papua New Guinea, Poland, Rwanda, Rwanda, Slovakia, Solomon Islands, Spain, Suriname, Sweden, Turkey, Union of South Africa, Union of South Africa, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, Uruguay","17 June 1936 , in accordance with article 4",1949-09-15,"Diseases, Labour, Legal matters","Multilateral","40 (p.19)",1936-06-17,1949,9,15,1936,6,17,"Geneva",1934-06-21,1934,6,21
"625","Convention (No. 43) for the regulation of hours of work in automatic sheet-glass works, as modified by the Final Articles Revision Convention 1946","Belgium, Bulgaria, Czech Republic, Czechoslovakia, Djibouti, France, France, France, Ireland, Malta, Martinique, Mexico, Norway, Panama, Slovakia, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, Uruguay","13 January 1938 , in accordance with article 6",1949-09-15,"Labour","Multilateral","40 (p.33)",1938-01-13,1949,9,15,1938,1,13,"Geneva",1934-06-21,1934,6,21
"626","Convention (No. 44) ensuring benefit or allowances to the involuntarily unemployed, as modified by theFinal Articles Revision Convention, 1946","Algeria, Bulgaria, Cyprus, Cyprus, Czechoslovakia, Czechoslovakia, Djibouti, France, France, France, France, France, Ireland, Italy, Netherlands, New Zealand, Norway, Norway, Peru, Spain, Switzerland, Switzerland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland","10 June 1938 , in accordance with article 18",1949-09-15,"Labour","Multilateral","40 (p.45)",1938-06-10,1949,9,15,1938,6,10,"Geneva",1934-06-23,1934,6,23
"627","Convention (No. 45) concerning the employment of women on underground work in mines of all kinds, as modified by the Final Articles Revision Convention, 1946","Afghanistan, Angola, Argentina, Australia, Australia, Australia, Australia, Australia, Austria, Austria, Azerbaijan, Bahamas, Bangladesh, Belgium, Belgium, Bolivia, Bosnia and Herzegovina, Bosnia and Herzegovina, Brazil, Bulgaria, Byelorussian Soviet Socialist Republic, Canada, Canada, Ceylon, Chile, Chile, China, China, Costa Rica, Croatia, Cuba, Cyprus, Cyprus, Czech Republic, Czech Republic, Czechoslovakia, Djibouti, Djibouti, Dominican Republic, Ecuador, Egypt, Estonia, Estonia, Federal Republic of Cameroon, Federal Republic of Cameroon, Federal Republic of Germany, Federation of Malaya, Federation of Nigeria, Fiji, Finland, Finland, France, France, France, Gabon, German Democratic Republic, Germany, Ghana, Greece, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, Hungary, Hungary, India, Indonesia, Ireland, Ireland, Italy, Italy, Italy, Ivory Coast, Japan, Kenya, Kyrgyzstan, Lebanon, Lesotho, Luxembourg, Luxembourg, Malawi, Malaysia, Malta, Malta, Martinique, Mexico, Montenegro, Morocco, Netherlands, Netherlands, Netherlands, Netherlands, Netherlands, Netherlands, Netherlands, New Zealand, New Zealand, Nicaragua, Pakistan, Panama, Papua New Guinea, Peru, Peru, Peru, Poland, Poland, Portugal, Saudi Arabia, Sierra Leone, Singapore, Slovakia, Slovakia, Slovenia, Slovenia, Solomon Islands, Somalia, Somalia, Spain, Spain, Swaziland, Sweden, Sweden, Switzerland, Syrian Arab Republic, Tajikistan, Tanganyika, The former Yugoslav Republic of Macedonia, Tunisia, Turkey, Uganda, Ukrainian Soviet Socialist Republic, Union of South Africa, Union of Soviet Socialist Republics, United Arab Republic, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanganyika and Zanzibar, Uruguay, Uruguay, Venezuela, Viet Nam, Viet Nam, Yugoslavia (Federal Republic of), Yugoslavia (Socialist Federal Republic of), Zambia, Zambia, Zimbabwe, Zimbabwe","30 May 1937 , in accordance with article 5",1949-09-15,"Women, Mining, Labour","Multilateral","40 (p.63)",1937-05-30,1949,9,15,1937,5,30,"Geneva",1935-06-21,1935,6,21
"628","Convention (No. 48) concerning the establishment of an international scheme for the maintenance of rights under invalidity, old-age and widows' and orphans' insurance, as modified by the Final Articles Revision Convention, 1946","Bosnia and Herzegovina, Croatia, Czechoslovakia, Czechoslovakia, Hungary, Hungary, Israel, Italy, Montenegro, Netherlands, Netherlands, Poland, Poland, Slovenia, Spain, The former Yugoslav Republic of Macedonia, Yugoslavia (Federal Republic of), Yugoslavia (Socialist Federal Republic of)","10 August 1938 , in accordance with article 24",1949-09-15,"Insurance, Labour","Multilateral","40 (p.73)",1938-08-10,1949,9,15,1938,8,10,"Geneva",1935-06-22,1935,6,22
"629","Convention (No. 49) concerning the reduction of hours of work in glass-bottle works, as modified by the Final Articles Revision Convention, 1946","Bulgaria, Czech Republic, Czechoslovakia, Djibouti, France, France, France, Ireland, Malta, Martinique, Mexico, New Zealand, New Zealand, Norway, Slovakia","10 June 1938 , in accordance with article 7",1949-09-15,"Labour","Multilateral","40 (p.97)",1938-06-10,1949,9,15,1938,6,10,"Geneva",1935-06-25,1935,6,25
"630","Convention (No. 50) concerning the regulation of certain special systems of recruiting workers, as modified by the Final Articles Revision Convention, 1946","Argentina, Bahamas, Barbados, Bechuanaland Protectorate, Belgium, Belgium, Burundi, Congo (Leopoldville), Federal Republic of Cameroon, Federation of Malaya, Federation of Nigeria, Fiji, Ghana, Grenada, Guatemala, Guyana, Jamaica, Japan, Kenya, Malawi, Malaysia, Mauritius, Mauritius, New Zealand, Norway, Rwanda, Seychelles, Sierra Leone, Singapore, Somalia, Somalia, St. Lucia, Swaziland, Tanganyika, Uganda, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Republic of Cameroon, United Republic of Cameroon, United Republic of Tanganyika and Zanzibar, Zambia, Zimbabwe, Zimbabwe","8 September 1939 , in accordance with article 27",1949-09-15,"Labour","Multilateral","40 (p.109)",1939-09-08,1949,9,15,1939,9,8,"Geneva",1936-06-20,1936,6,20
"631","Convention (No. 52) concerning annual holidays with pay, as modified by the Final Articles Revision Convention, 1946","Albania, Argentina, Azerbaijan, Brazil, Brazil, Bulgaria, Burma, Burundi, Byelorussian Soviet Socialist Republic, Central African Republic, Chad, Colombia, Comoros, Cuba, Czech Republic, Czech Republic, Czechoslovakia, Denmark, Denmark, Djibouti, Dominican Republic, Egypt, Federal Republic of Cameroon, Finland, France, France, France, Gabon, Georgia, Greece, Guinea, Hungary, Hungary, Iraq, Israel, Italy, Italy, Ivory Coast, Kuwait, Kyrgyzstan, Lebanon, Libya, Madagascar, Mali, Martinique, Mauritania, Mexico, Morocco, New Zealand, Panama, Paraguay, Peru, Russian Federation, Senegal, Slovakia, Spain, Syrian Arab Republic, Tajikistan, Tunisia, Ukraine, Ukrainian Soviet Socialist Republic, Union of Soviet Socialist Republics, United Arab Republic, Upper Volta, Uruguay, Uzbekistan, Viet Nam, Yugoslavia (Socialist Federal Republic of)","22 September 1939 , in accordance with article 11",1949-09-15,"Labour","Multilateral","40 (p.137)",1939-09-22,1949,9,15,1939,9,22,"Geneva",1936-06-24,1936,6,24
"632","Convention (No. 53) concerning the minimum requirement of professional capacity for masters and officers on board merchant ships, as modified by the Final Articles Revision Convention, 1946","Argentina, Belgium, Bosnia and Herzegovina, Brazil, Bulgaria, China, Croatia, Cuba, Denmark, Djibouti, Egypt, Estonia, Federal Republic of Germany, Finland, France, France, France, France, France, France, Ireland, Israel, Italy, Liberia, Libyan Arab Republic, Luxembourg, Malta, Mauritania, Mexico, Montenegro, New Zealand, Norway, Panama, Peru, Philippines, Republic of China, Republic of Korea, Slovenia, Spain, Syrian Arab Republic, The former Yugoslav Republic of Macedonia, Turkey, United Arab Republic, United States of America, United States of America, Yugoslavia (Federal Republic of), Yugoslavia (Socialist Federal Republic of)","29 March 1939 , in accordance with article 9",1949-09-15,"Ships and shipping, Navigation, Labour","Multilateral","40 (p.153)",1939-03-29,1949,9,15,1939,3,29,"Geneva",1936-10-24,1936,10,24
