"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"737","Convention between the Governments of Denmark and France relating to military service","Denmark*, France","31 October 1949 by the exchange of the instruments of ratification, in accordance with article 6",1950-03-03,"Military matters","Bilateral","48 (p.3)",1949-10-31,1950,3,3,1949,10,31,"Paris",1949-06-22,1949,6,22,NA,NA,NA,NA,NA
"1155","Convention with regard to the Transmission of Judicial Documents and ''commissions rogatoires'' in Civil and Commercial Matters, signed at Paris, December 30, 1925.","France*, Poland","1 April 1926",1926-05-05,"Civil matters, Judicial matters, Documents, Legal matters, Trade","Bilateral","48 (p.140)",1926-04-01,1926,5,5,1926,4,1,"Paris",1925-12-30,1925,12,30,NA,NA,NA,NA,NA
"739","Exchange of letters constituting an agreement between the Governments of Belgium and Austria for the revival of certain international instruments relating to extradition","Austria, Belgium*","20 November 1949 by the exchange of the said letters, in accordance with their provisions",1950-03-14,"Treaties-Agreements (application), Extradition","Bilateral","48 (p.107)",1949-11-20,1950,3,14,1949,11,20,"Brussels",1949-11-05,1949,11,5,"Brussels",1949-10-15,1949,10,15
"740","Mutual Defence Assistance Agreement between Denmark and the United States of America","Denmark*, United States of America","27 January 1950 by signature, in accordance with article VII",1950-03-15,"Assistance, Military matters","Bilateral","48 (p.115)",1950-01-27,1950,3,15,1950,1,27,"Washington",1950-01-27,1950,1,27,NA,NA,NA,NA,NA
"738","Note by which the Government of the United States of America, in pursuance of article 10 of the Treaty of Peace with Romania, signed at Paris on 10 February 1947, notified the Romanian Government of those pre-war bilateral treaties between the two countries, which the United States of America desires to keep in force or revive","Romania, United States of America*","with retroactive effect from 26 February 1948",1950-03-10,"Treaties-Agreements (application), Peace","Bilateral","48 (p.9)",1948-02-26,1950,3,10,1948,2,26,"Bucharest",1948-02-26,1948,2,26,NA,NA,NA,NA,NA
"744","Treaty of friendship and mutual assistance between the Union of Soviet Socialist Republics and the Mongolian People's Republic","Mongolia, Union of Soviet Socialist Republics*","26 April 1946 by the exchange of the instruments of ratification, in accordance with article 3",1950-03-15,"Assistance, Cooperation, Friendship","Bilateral","48 (p.177)",1946-04-26,1950,3,15,1946,4,26,"Moscow",1946-02-27,1946,2,27,NA,NA,NA,NA,NA
"741","Treaty of friendship, co-operation and mutual assistance between the Union of Soviet Socialist Republics and the People's Republic of Bulgaria","Bulgaria, Union of Soviet Socialist Republics*","18 March 1948 by signature, in accordance with article 6",1950-03-15,"Assistance, Cooperation, Friendship","Bilateral","48 (p.135)",1948-03-18,1950,3,15,1948,3,18,"Moscow",1948-03-18,1948,3,18,NA,NA,NA,NA,NA
"742","Treaty of friendship, co-operation and mutual assistance between the Union of Soviet Socialist Republics and the Republic of Finland","Finland, Union of Soviet Socialist Republics*","31 May 1948 by the exchange of the instruments of ratification, in accordance with article 8",1950-03-15,"Assistance, Cooperation, Friendship","Bilateral","48 (p.149)",1948-05-31,1950,3,15,1948,5,31,"Moscow",1948-04-06,1948,4,6,NA,NA,NA,NA,NA
"743","Treaty of friendship, co-operation and mutual assistance between the Union of Soviet Socialist Republics and the Republic of Hungary","Hungary, Union of Soviet Socialist Republics*","22 April 1948 by the exchange of the instruments of ratification, in accordance with article 6",1950-03-15,"Assistance, Cooperation, Friendship","Bilateral","48 (p.163)",1948-04-22,1950,3,15,1948,4,22,"Moscow",1948-02-18,1948,2,18,NA,NA,NA,NA,NA
"745","Treaty of friendship, co-operation and mutual assistance between the Union of Soviet Socialist Republics and the Romanian People's Republic","Romania, Union of Soviet Socialist Republics*","4 February 1948 by signature, in accordance with article 6",1950-03-15,"Assistance, Cooperation, Friendship","Bilateral","48 (p.189)",1948-02-04,1950,3,15,1948,2,4,"Moscow",1948-02-04,1948,2,4,NA,NA,NA,NA,NA
"737","Convention between the Governments of Denmark and France relating to military service","Denmark*, France","31 October 1949 by the exchange of the instruments of ratification, in accordance with article 6",1950-03-03,"Military matters","Bilateral","48 (p.3)",1949-10-31,1950,3,3,1949,10,31,"Paris",1949-06-22,1949,6,22,NA,NA,NA,NA,NA
"1177","Additional articles amending the detailed Regulations for the Execution of the Agreement concerning the Exchange of Postal Parcels, concluded at London, January 31, 1907 between the Post Office of the United Kingdom and the Department of Communications of the Empire of Japan signed at London, July 28, 1925","Japan, United Kingdom*","",1926-05-25,"Postal services","Bilateral","49 (p.73)",NA,1926,5,25,NA,NA,NA,"London",1925-07-28,1925,7,28,NA,NA,NA,NA,NA
"747","Treaty of Peace with Italy","Albania, Australia, Belgium, Belgium, Brazil, Canada, China, Czechoslovakia, Ethiopia, France, Greece, India, Italy, Mexico, Netherlands, New Zealand, Pakistan, Poland, Ukrainian Soviet Socialist Republic, Union of South Africa, Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland, United States of America, Yugoslavia (Socialist Federal Republic of)","15 September 1947 , in accordance with article 10",1950-03-15,"Peace","Multilateral","49 (p.3), 50",1947-09-15,1950,3,15,1947,9,15,"Paris",1947-02-10,1947,2,10,NA,NA,NA,NA,NA
"1213","Agreement in regard to Tonnage Measurement of Merchant Ships, signed at London May 20, 1926","Portugal, United Kingdom of Great Britain and Northern Ireland*","20 May 1926",1926-06-30,"Ships and shipping, Labour, Transport","Bilateral","50 (p.303)",1926-05-20,1926,6,30,1926,5,20,"London",1926-05-20,1926,5,20,NA,NA,NA,NA,NA
"747","Treaty of Peace with Italy","Albania, Australia, Belgium, Belgium, Brazil, Canada, China, Czechoslovakia, Ethiopia, France, Greece, India, Italy, Mexico, Netherlands, New Zealand, Pakistan, Poland, Ukrainian Soviet Socialist Republic, Union of South Africa, Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland, United States of America, Yugoslavia (Socialist Federal Republic of)","15 September 1947 , in accordance with article 10",1950-03-15,"Peace","Multilateral","49 (p.3), 50",1947-09-15,1950,3,15,1947,9,15,"Paris",1947-02-10,1947,2,10,NA,NA,NA,NA,NA
